,Mobile_name,Details,Price,Reviews,Num_Ratings,Num_Reviews
0,"Apple iPhone 15 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"13,968 Ratings ", 958 Reviews
1,"Motorola G34 5G (Ocean Green, 128 GB)",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,"₹11,999",4.2,"6,481 Ratings ", 899 Reviews
2,"vivo T2 5G (Nitro Blaze, 128 GB)",8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹17,999",4.3,"16,645 Ratings "," 1,170 Reviews"
3,"vivo T2 5G (Velocity Wave, 128 GB)",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹15,999",4.4,"95,259 Ratings "," 6,250 Reviews"
4,"vivo T2 5G (Nitro Blaze, 128 GB)",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹15,999",4.4,"95,259 Ratings "," 6,250 Reviews"
5,"vivo T2 5G (Velocity Wave, 128 GB)",8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹17,999",4.3,"16,645 Ratings "," 1,170 Reviews"
6,"Apple iPhone 15 (Black, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"13,968 Ratings ", 958 Reviews
7,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD Display13MP + 2MP | 5MP Front Camera5000 mAh Lithium-Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹5,999",4.2,"97,370 Ratings "," 5,565 Reviews"
8,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹5,499",4,"1,80,462 Ratings "," 10,048 Reviews"
9,"Apple iPhone 14 (Midnight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
10,"Motorola G34 5G (Ice Blue, 128 GB)",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,"₹11,999",4.2,"6,481 Ratings ", 899 Reviews
11,"vivo T2x 5G (Aurora Gold, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
12,"vivo T2x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
13,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
14,"vivo T2x 5G (Aurora Gold, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
15,"vivo T2x 5G (Glimmer Black, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
16,"vivo T2x 5G (Aurora Gold, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
17,"vivo T2x 5G (Marine Blue, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
18,"Apple iPhone 14 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
19,"vivo T2x 5G (Glimmer Black, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
20,"vivo T2x 5G (Glimmer Black, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
21,"Apple iPhone 15 (Pink, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹66,999",4.6,"13,968 Ratings ", 958 Reviews
22,"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
23,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD Display13MP + 2MP | 5MP Front Camera5000 mAh Lithium-Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹5,999",4.2,"97,370 Ratings "," 5,565 Reviews"
24,"Motorola g54 5G (Pearl Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories,"₹13,999",4.2,"62,899 Ratings "," 6,182 Reviews"
25,"REDMI 12 5G (Moonstone Silver, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,999",4.3,"18,156 Ratings "," 1,180 Reviews"
26,"vivo T2x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
27,"vivo T2x 5G (Aurora Gold, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
28,"vivo T2x 5G (Glimmer Black, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
29,"POCO M6 Pro 5G (Forest Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,499",4.3,"69,021 Ratings "," 4,624 Reviews"
30,"vivo T2x 5G (Glimmer Black, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
31,"vivo T2x 5G (Marine Blue, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
32,"vivo T2x 5G (Aurora Gold, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
33,"vivo T2x 5G (Glimmer Black, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
34,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
35,"Apple iPhone 14 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
36,"POCO M6 5G (Orion Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499",4.3,"5,924 Ratings ", 368 Reviews
37,"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
38,"vivo T2 Pro 5G (Dune Gold, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹24,999",4.5,"69,096 Ratings "," 6,099 Reviews"
39,"vivo T2 Pro 5G (New Moon Black, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹24,999",4.5,"69,096 Ratings "," 6,099 Reviews"
40,"vivo T2 Pro 5G (New Moon Black, 128 GB)",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹23,999",4.5,"69,096 Ratings "," 6,099 Reviews"
41,"vivo T2 Pro 5G (Dune Gold, 128 GB)",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹23,999",4.5,"69,096 Ratings "," 6,099 Reviews"
42,"REDMI 12 5G (Pastel Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,975",4.3,"18,156 Ratings "," 1,180 Reviews"
43,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","₹10,990",4.2,"88,220 Ratings "," 6,483 Reviews"
44,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","₹9,990",4.2,"36,068 Ratings "," 2,388 Reviews"
45,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD Display13MP + 2MP | 5MP Front Camera5000 mAh Lithium-Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹5,999",4.2,"97,370 Ratings "," 5,565 Reviews"
46,"POCO M6 Pro 5G (Forest Green, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,999",4.2,"7,026 Ratings ", 580 Reviews
47,"REDMI A2 (Sea Green, 64 GB)",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,299",4.2,"6,279 Ratings ", 369 Reviews
48,"REDMI 12 (Pastel Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹10,499",4.2,"38,578 Ratings "," 2,720 Reviews"
49,"Motorola g54 5G (Mint Green, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories,"₹15,999",4.2,"58,864 Ratings "," 5,528 Reviews"
50,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,"₹20,199",4.4,"52,811 Ratings "," 3,705 Reviews"
51,"Motorola Edge 40 Neo (Black Beauty, 128 GB)",8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories,"₹22,999",4.4,"28,459 Ratings "," 3,642 Reviews"
52,"POCO C55 (Cool Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,999",4.2,"1,13,904 Ratings "," 6,868 Reviews"
53,"Motorola g54 5G (Midnight Blue, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories,"₹15,999",4.2,"58,864 Ratings "," 5,528 Reviews"
54,"Apple iPhone 13 (Starlight, 128 GB)",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,"₹52,999",4.7,"2,77,469 Ratings "," 13,511 Reviews"
55,"POCO M6 5G (Orion Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499",4.3,"5,924 Ratings ", 368 Reviews
56,"Motorola g54 5G (Pearl Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7020 Processor1 Year on Handset and 6 Months on Accessories,"₹13,999",4.2,"62,899 Ratings "," 6,182 Reviews"
57,"Motorola G34 5G (Charcoal Black, 128 GB)",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,"₹11,999",4.2,"6,481 Ratings ", 899 Reviews
58,"Motorola Edge 40 Neo (Soothing Sea, 128 GB)",8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories,"₹22,999",4.4,"28,459 Ratings "," 3,642 Reviews"
